Title,Doi,Method_name,Spatial_mapping_strategy,Optimization_algorithm,Image_character_space,Representative_algorithms,Source
A comprehensive benchmark of spatial encoding methods for tabular data with deep neural networks,10.1016/j.inffus.2025.104088,IGTD,Rank-Based Permutation (Inferred),Frobenius norm minimization (Inferred),Dense,"IGTD, CNN","17, 19"
TINTOlib: A Python library for transforming tabular data into synthetic images for deep neural networks,10.1016/j.softx.2025.102444,REFINED,Manifold Projection (Inferred),Bayesian MDS (Inferred),Dense,"REFINED, CNN, ViT","17, 18, 19"
TINTOlib: A Python library for transforming tabular data into synthetic images for deep neural networks,10.1016/j.softx.2025.102444,SuperTML,Tabular-to-Text Mapping (Inferred),Font Rendering (Inferred),Textual Glyph,"SuperTML, CNN","17, 18, 19"
A comprehensive benchmark of spatial encoding methods for tabular data with deep neural networks,10.1016/j.inffus.2025.104088,DeepInsight,Manifold Projection (Inferred),t-SNE (Inferred),Sparse,DeepInsight,17
TINTOlib: A Python library for transforming tabular data into synthetic images for deep neural networks,10.1016/j.softx.2025.102444,BarGraph,Sequential Geometric Mapping (Inferred),Direct Encoding (Inferred),Dense / Sparse,"BarGraph, CNN","17, 18, 19"
Image generator for tabular data based on non-Euclidean metrics for CNN-based classification,10.1371/journal.pone.0340005,IGTD,Feature reordering / Rank-based permutation,"Euclidean, Correlation, Geodesic, Jensen-Shannon, Wasserstein, and Tropical distances",Dense pseudo-images,CNN-based classification,20
A comprehensive benchmark of spatial encoding methods for tabular data with deep neural networks,10.1016/j.inffus.2025.104088,DistanceMatrix,Pairwise Distance (Inferred),Euclidean Metric (Inferred),Dense (Inferred),CNN,"19, 12"
Robust and interpretable tabular data classification via multi-channel image conversion and channel-wise gating,10.1016/j.neunet.2026.109316,TabGCNet (specifically the Tab2MI module),Feature-to-channel correspondence (Multi-channel conversion),Parameter-free rendering,Multi-channel (preserving explicit feature identity),CNN-based framework (TabGCNet),21
Comparative evaluation of tabular-to-image deep learning pipelines for EEG-based epileptic seizure recognition,10.1016/j.compbiomed.2026.111896,Gramian Angular Field (GAF),Polar Coordinate Transformation (Inferred),Trigonometric mapping (Inferred),Dense (Inferred),CoAtNet-0,22
Comparative evaluation of tabular-to-image deep learning pipelines for EEG-based epileptic seizure recognition,10.1016/j.compbiomed.2026.111896,Markov Transition Field (MTF),Transition Probability Mapping (Inferred),Markovian dynamics (Inferred),Dense (Inferred),CoAtNet-0,22
TabSOM: A tabular-to-image encoding method based on self-organizing maps,10.48550/arXiv.2608.13513,TabSOM,Collision-free Hungarian assignment,Self-Organizing Map (SOM),Dense (multi-scale node channels),"Random Forest, XGBoost, SHAP",23
Comprehensive Analysis of Tabular-to-Image Convolutional Neural Networks,Not in source,Manifold Projection,Projects features into continuous 2D coordinates based on pairwise similarity,"Nonlinear manifold learning (t-SNE, kPCA, or Isomap)",Sparse or compressed,"DeepInsight, TINTO, DeepFeature",24
Comprehensive Analysis of Tabular-to-Image Convolutional Neural Networks,Not in source,Distance-Preserving Optimization,Assigns unique pixel coordinates on a fixed canvas to preserve distance matrices,Bayesian MDS (BMDS) or Self-Organizing Maps (SOM),Compact and collision-free,"REFINED, TabSOM",24
Comprehensive Analysis of Tabular-to-Image Convolutional Neural Networks,Not in source,Rank-Based Permutation,Matching rank order of feature distances with pixel coordinate distances,Heuristic search / Iterative swapping to minimize Frobenius norm discrepancies,Fully dense,"IGTD, LM-IGTD",24
Comprehensive Analysis of Tabular-to-Image Convolutional Neural Networks,Not in source,Textual Glyph Rendering,Renders literal characters and digits visually onto a canvas,Grid-based placement with dynamic scaling,High-resolution bitmap (Textual Representations),"SuperTML, EFTML, VFTML",24
SOM2IMG: Self-Organizing Map Based Tabular-to-Image Transformation for Deep Learning,Not in source,SOM2IMG,Self-Organizing Map (SOM),Competitive Learning / Neighbor Weight Update,Dense,Not in source,25
Test-Time Augmentation for Tabular-to-Image Classifiers under Distribution Shifts,10.48550/arXiv.2608.03557,Fotomics,Not in source,Not in source,Not in source,Not in source,12
